Company Name,Job Profile,Individual Stipend
Finstreet,React Native Development, 10000 /month
Able Jobs,Graphic Design, 12000 /month
ABP EVentures Private Limited,Mobile App Development, 10000 /month
Gritsa Technologies,Marketing, 5000-10000 /month
XpertHunt,Graphic Design, 5000-10000 /month
XpertHunt,Business Development (Sales), 7000-12000 /month
Instadukan,Web Development, 10000 /month
XpertHunt,Mobile App Development, 10000-15000 /month
MindBowser Info Solutions Private Limited,Java/Spring Development, 15000 /month
TVM E-Learning,Graphic Design, 7000 /month
Luminar Media,Business Development (Sales), 10000 /month
DailyBrief,Software Testing, 18000-25000 /month
Avodha,Cyber Security, 6000 /month
Inspirion Digital Solutions Private Limited,Business Development (Sales), 15000 /month
Ace Technosys,Web Development, 10000 /month
EvueMe Selection Robot,Artificial Intelligence And Machine Learning, 3000-8000 /month
Accelus Robotics Private Limited,Business Development (Sales), 10000 /month +  Incentives
Carrrie,Full Stack Development (MERN), 5000-7000 /month
UpBrinGO,Graphic Design, 4000-6000 /month
Team Works,Business Development (Sales), 10000 /month +  Incentives
School Of Accelerated Learning,Marketing, 10000 /month
Team Works,Business Development (Sales), 10000 /month +  Incentives
Saraf Tech,Graphic Design, 16000 /month
SummentorPro Business Consultants,Sponsorship Management, 10000 /month +  Incentives
Techensefier Private Limited,Cartoon Illustration, 3000-8000 /month
Extrava Studytours Private Limited,Marketing, 8000-12000 /month
Nxt Quantum Technologies,App/Web UI/UX Design, 7000-12000 /month
SILVERSEVEN,Mobile App Development, 15000 /month
Make Me Pure,Graphic Design, 7000-8000 /month
SILVERSEVEN,Business Development (Sales), 15000 /month
Robocom International,Web Development, 3000-6000 /month
Nxt Quantum Technologies,Product Management (Growth), 7000-12000 /month
Inkoop,JavaScript Development, 15000 /month
ProtonAutoML,Web Development, 7000-12000 /month
VentureSky Business Development Private Limited,Graphic Design, 10000-15000 /month
Lifafa Tech Services Private Limited,Graphic Design, 15000 /month
ProtonAutoML,Marketing, 17000-21000 /month
Iraitech Innovations & Technologies Private Limited,Graphic Design, 7000-12000 /month
Vecros Technologies Private Limited,PCB & Circuit Design, 10000 /month +  Incentives
Albatross Media & Entertainment,Web Development, 8000-12000 /month
Way2Society,Web Development, 7000 /month
Pcds Infotech,Web Development, 10000-15000 /month
Surgeup Technologies Private Limited,Graphic Design, 15000 /month
SoluLab,ReactJS, 6000-10000 /month
SoluLab,Node.js Development, 6000-10000 /month
SoluLab,Blockchain Development, 8000-10000 /month
ForAll A Tech,ReactJS development, 3000-7000 /month
Sporty Guru,Web Development, 5000-10000 /month
Sporty Guru,Mobile App Development, 5000-10000 /month
Sporty Guru,Graphic Design, 5000-8000 /month
Quantum IT,Graphic Design, 8000-15000 /month
Extrava Studytours Private Limited,Marketing, 7000 /month
OyeLabs,Flutter Development, 5000-10000 /month
Riveyra Infotech Private Limited,Graphic Design, 5000-10000 /month
Marketing Czars,Marketing, 15000 /month +  Incentives
Indwell Retail Private Limited,Web Development, 10000 /month
OFA Fitness,Web Development, 10000-15000 /month
HappiMynd,Graphic Design, 5000-10000 /month
RayReach Technologies Private Limited,Front End Development, 15000 /month
GharChalo,Angular 11 Web Development, 10000 /month
GharChalo,Flutter Development, 10000 /month
Iraitech Innovations & Technologies Private Limited,Mobile App Development (React Native), 10000-18000 /month
SoCheers Infotech,Influencer Marketing, 10000-15000 /month
StartupTalky,Web Development, 6000-8000 /month
Goodera,Global Graphic Design, 10000-15000 /month
O C Tanner,Graphic Design, 10000 /month
Iraitech Innovations & Technologies Private Limited,Python/Django Development, 10000-18000 /month
Sterling Technolabs,Flutter Development, 4000-6000 /month
3rdi Technologies Private Limited,Game Development, 25000 /month
GharChalo,Node.js Development, 10000 /month
QA Solvers,Graphic Designing, 10000-12000 /month
Support Guru,Flutter Development, 10000 /month
Knitroot India Private Limited,Customer Relationship Management, 5000-7000 /month
StepOut,Fullstack Development, 8000-10000 /month
Codinix Consulting Services,Business Development (Sales), 10000-15000 /month
Reservefree Private Limited,Web Development, 4000-6000 /month
SuperNova,Business Development (Sales), 5000-10000 /month
Jai Kisan,Web Development, 10000 /month
People Combine Initiatives LLP,App Testing, 12000 /month
KoiReader Technologies,Data Annotation, 4000-8000 /month
Steora,Telemarketing, 20000 /month
Engati Technologies,Business Development (Sales), 22000 /month
Hodomojo (OSGRIP Technologies LLP),Flutter Development, 7500-14000 /month
HEART N DESIGN STUDIO,Business Development (Sales & Marketing), 6000-8000 /month
Engati Technologies,Sales Engineering, 22000 /month
Engati Technologies,Graphic Design, 22000 /month
Knimbus,Business Development (Sales), 5000-7000 /month
Fynzo,Mobile App Development, 5000-7000 /month
Revolo Infotech,Graphic Design, 7000 /month
Evelyn Learning System,Subject Matter Expert (Computer Science), 18000 /month
Techolution,React Native Development, 15000 /month
Pluto Ventures,Business Development (Sales), 6000-8000 /month
Live24/7,Mobile App Development, 10000 /month
Conflux Technologies Private Limited,Web Development, 10000 /month
Neeraj Sinha,Mobile App Development, 10000 /month +  Incentives
Mechatron Robotics,Teaching (Robotics & Arduino), 8000 /month
Trell,Graphic Design, 15000-20000 /month
AlgoSales,Web Development, 6000 /month
Lifedoot Trading Company,Business Development (Sales), 3000-8000 /month
1Only Host,Graphic Design, 4500-9500 /month
Whiz League,Marketing, 5000-7000 /month
Augmentr Ai,iOS Development, 10000 /month
Eduauraa Technologies Private Limited,App Testing, 8000 /month
TurboHire,Full Stack Development, 15000-20000 /month
Seekapp,Graphic Design, 5000-7000 /month
Spree Hospitality,Graphic Design, 6000 /month
Velozity Global Solutions,Web Development, 10000-15000 /month
One Rhino Technologies Private Limited,Mobile App Development, 6000 /month
Project Elga By Elga Roma,Backend Development, 12000-15000 /month
ORCHIDS International School,Event Management, 15000 /month
Tortalabz,DevOps Management, 7000 /month
Sweet Udaipur,Graphic Design, 8500 /month
Incentify,Blockchain Development, 5000-10000 /month
Volv Media,Marketing, 10000 /month
Transcend Consultancy,Business Development (Sales), 7000 /month
Ideastack,Business Development (Sales), 10000 /month
Trace Presence,Business Development (Sales), 4000-9000 /month
Nomadik Soul Private Limited (Destinio),Graphic Design, 10000 /month
Impactional Games Private Limited,Game Development, 12000-20000 /month
Quillhash,Ethereum Smart Contract Development, 15000-25000 /month
Parallel Plaids Uniforms Private Limited,Marketing, 14000 /month +  Incentives
The Bling Stores LLP,Graphic Design, 10000-15000 /month
Khadi Sadan,Shopify Development, 10000-15000 /month
MARRON,Graphic Design, 5000-8000 /month
DANIP,Web Development, 3000-7000 /month
IKIGAI MANAGMENT,Web Development, 6000-12000 /month
Yskool,Web Development, 8000-10000 /month
Wikasta Business And Technical Solutions Private Limited,Web Development, 7500-15000 /month
Testbook,Digital Event Management, 10000 /month
Quillhash,Project Management (Blockchain), 10000-20000 /month
Cloud4C Services Limited,Marketing, 10000-15000 /month
Logos Consulting Services,Frontend Software Engineering (React.js), 10000 /month
RightMark Solutions,Business Development (Sales), 15000 /month
Logos Consulting Services,Custom WordPress Theme Development, 10000 /month
Creatiwise,JavaScript Development (Chrome Extensions), 10000 /month
Newjaisa Technology Private Limited,Business Development (Sales), 12000 /month
SKA Enterprise,Web Development, 4000-6000 /month
MagicBerry House Private Limited,Web Development, 8000-10000 /month
Inkoop,Front End Development, 15000 /month
Hi Talent,Software Development, 1000-6000 /month
Rudralife,Graphic Design, 6000 /month +  Incentives
FNT Technologies Private Limited,Mobile App Development, 8000-16000 /month
Chahat Malik,Business Development (Sales), 8000-12000 /month
Magnox Technologies Private Limited,Mobile App Development, 20000-30000 /month
Jiffee Solutions,Graphic Design, 10000 /month
Live24/7,Web Development, 10000 /month
Logos Consulting Services,EDI Data (Logistics), 10000 /month
Adas International,Business Development (Sales), 6000 /month +  Incentives
Rootally AI,Flutter Development, 20000 /month
Craygency LLP,Digital Illustration And Graphic Design, 10000 /month
TJRA Retail (OPC) Private Limited,Front End Development & UI Design, 3000-6000 /month
Logos Consulting Services,Backend Software Engineering (Node.js), 10000 /month
Formyoula,Mobile App Development, 5000-10000 /month
Expertrons,Product Management, 15000 /month
Peritus Solutions P Limited,Business Development (Sales), 10000 /month +  Incentives
Incentify,Frontend Development, 5000-10000 /month
Digi Carotene,Web Development, 8000 /month
Appknox,Marketing, 10000 /month
Digibulls,Business Development (Sales), 7000-14000 /month
Zansys Technologies,Web Development, 10000 /month
Zansys Technologies,Business Development (Sales), 10000 /month
FrontRow,Graphic Design, 5000-8000 /month
UMO Design Foundation,Graphic Design, 5000-6000 /month
Ideamagix,Backend Development, 6000 /month
Kochiva,Marketing Communication, 5000-8000 /month
Nishkaera Financial Advisory And Wealth Management Private Limited,Front End Development, 4000-8000 /month
Golden Basil,Business Development (Sales), 11000 /month +  Incentives
Ideamagix,Full Stack Development, 6000 /month
Hermanos,Backend Web Development, 6000 /month
Sensor Equation,Web Development, 5000-10000 /month
HEU Technologies Private Limited,ReactJS development, 20000 /month
Hermanos,Full Stack Development, 6000 /month
Flipside Communications Private Limited,Graphic Design, 10000-15000 /month
SLOK Agro Biotech Private Limited,Mobile App Development, 6000 /month
EmployAnywhere India Private Limited,Product Design (Clean Energy), 10000-15000 /month
Ever Aspire Consulting,Marketing, 9000 /month
Digital Rush,Graphic Design, 6000 /month
Nextdot,Business Development (Sales), 5000-8000 /month
Meta Infotech Private Limited,Marketing, 8000-12000 /month
SLABS Engineering Private Limited,Structural Design Engineering, 8000 /month
Saffron Designs,Graphic Design, 8000 /month
Dotin Inc,Business Development (Sales), 3000 /week +  Incentives
Candid Conversations (Brandlogist),Podcast Hosting & Production, 5000-10000 /month
Twango,Web Development, 15000 /month
SG Technologies,Web Development, 8000 /month
Shivaakriti Creations Private Limited,Business Development (Sales), 9000-15000 /month
BlogSkill Academy,Business Development (Sales), 7000-12000 /month
Seeders Media LLP,Marketing, 10000 /month
Deskcount,Flutter Mobile App Development (Android & iOS), 7000 /month
KonfHub Technologies LLP,Python Development On AWS, 10000 /month
Cureck Technologies,Mobile App Development, 30000-40000 /month
Benchmark Six Sigma,Marketing, 30000 /month
Edulabtech Solutions Private Limited,Online Teaching (Coding), 5000-10000 /month
Velozity Global Solutions,Flutter Development, 10000-15000 /month
Newton School,Marketing, 6000 /month
Alchemist Marketing And Talent Solutions,Marketing, 10000 /month
Modgenics Technology Solutions Private Limited,MERN Stack Development, 10000-15000 /month
Ultish Technologies,Flutter Development, 5000-10000 /month
SARZE Publications,Graphic Design, 6000-8000 /month
Cyber Saga,Graphic Design, 20000-25000 /month
Social Neeti,Graphic Design, 11000-18000 /month
SJTech Solutions,Machine Learning, 4000-6000 /month
Dyeus,Business Development (Sales), 25000-35000 /month
Adbizit,Graphic Design, 7000 /month
Cosy Designs (OPC) Private Limited,Illustration, 3500 lump sum
Twango,Product Management, 15000 /month
Androcid,Flutter App Development, 15000 /month
The Test Tribe,Graphic Design, 6000-10000 /month
Wikasta Business And Technical Solutions Private Limited,Web Development, 10000-20000 /month
Newton School,Marketing, 6000 /month +  Incentives
Nothing.Health Private Limited,Shopify Design/ Development, 10000 /month
GIFOLA,Graphic Design, 10000 /month
INTEGRTR (CloudIntegrtr Software Services Private Limited),Graphic Design, 8000-15000 /month
Chimpandz Media LLP,Graphic Design, 6000 /month
Duo Polin Private Limited,Web Development, 4000-8000 /month
PeopleNorth Adcon (OPC) Private Limited,Business Development (Sales), 7000-10000 /month
Touchstone Foundation (TSF),Cloud Software Engineering, 10000 /month
KoiReader Technologies,Python Development, 5000-10000 /month
Zaggle Media,Graphic Design, 12500 /month
Deval Bhamare,Web Development, 2000 /week
QuadB,Business Development (Sales), 10000 /month
QuadB,Graphic Design, 10000 /month
KUKbit Software Lab,Front End Development, 2000 /week
KUKbit Software Lab,Web Development, 15000 /month
KUKbit Software Lab,Internet Of Things (IoT), 6000 /month
Ishan Roy,Web Development, 2000 lump sum
Improvians,CAD Design Engineering, 6000-8000 /month
Improvians,Embedded Design, 6000-8000 /month
Cron Labs,Business Development (Sales), 10000 /month
Ahimsa India,Graphic Design, 15000 /month
UpBrinGO,Business Development (Sales), 8000-10000 /month
LocoBuzz,ReactJS development, 7000-10000 /month
Agrilinks Data Technologies Private Limited,Front End Development (React), 7000 /month
DreamSavour EzSolutions LLP,Graphic Design, 7500 /month
RuDe Labs Pvt Ltd.,Content Writing (Environmental Science ), 10000 /month
Brightcom Group,Mobile App Development, 10000-20000 /month
Ideamagix,Node.js Development, 6000 /month
Ideamagix,PHP Development, 6000 /month
Sankov Solutions Private Limited,Web Development, 10000 /month
RealtyAI,Graphic Design, 10000 /month
Troibits Infotech,Business Development (Sales), 10000 /month +  Incentives
Troibits Infotech,Mobile App Development, 10000 /month
Gayatri Techno Services,Mobile App Development, 10000 /month
Stirring Minds,Growth Hacking, 4000-8000 /month
Bipolar Factory,Internet Of Things (IoT), 10000-15000 /month
Hono,NLP, 15000 /month
Quinence,Blockchain Development, 30000-40000 /month
Techdome Solutions Private Limited,Web Development, 5000-8000 /month
Biteful Consumer Products Private Limited,Graphic Design, 4000-7000 /month
Fight Forecaster,Web Development, 8000 /month
Twelve Dimension Proprietary Limited (Australia),Web Development, 10000 /month
Design Avenue,Graphic Design, 4000-6000 /month
SocialFaim,Marketing, 8000 /month
UFO Moviez India Limited,Marketing, 10000 /month
AppAvengers,Web Development, 1000-6000 /month
BookLeaf Publishing,Graphic Design, 5000-8000 /month
AezmoCorp Private Limited,Android App Development, 5000-10000 /month
Grow91,Business Development (Sales), 10000 /month
Cosy Designs (OPC) Private Limited,Graphic Design, 3000 lump sum
Organizein,PHP Development, 5000-6000 /month
Indian Influencer Network,Business Development (Sales), 12000 /month
Swick,Full Stack Development, 10000 /month
InGroups,Web Development, 8000 /month
Phurti - Instant Groceries,Web Development, 6000-10000 /month
Elecload India,Business Development (Sales), 8000 /month
Kowi Fashion Private Limited,Flutter Development, 3000-7000 /month
Agrilinks Data Technologies Private Limited,Mobile App Development, 10000 /month
GeekSynergy Technologies Private Limited,Web Development, 10000 /month
Gungun Erp Solution Private Limited,Web Development, 10000-20000 /month
SpandanWeavers Crafts Private Limited,Web Development, 6000-12000 /month
Centum,Web Development, 7000 /month
Skylon Plasmec,Business Development (Sales), 7000 /month
Indo Texnology Private Limited,Mobile App Development, 10000-15000 /month
BookEventz,Graphic Design, 5000-8000 /month
GharChalo,React Native Mobile Development, 12000 /month
YOLoud,Graphic Design, 4000-6000 /month
ETechCube,React Native & Javascript Development, 5000-10000 /month
Settyl,Full Stack Development, 3000-6000 /month
Ketto,Product Management, 20000 /month
Cendeux Services Private Limited,Web Development, 5000-10000 /month
TPF Technologies Private Limited,Android Development, 10000 /month
Ameha Technologies Private Limited,React/React-Native Development, 12000-15000 /month
Taaz ITSolutions,Mobile App Development, 4000-9000 /month
Codeb,Full Stack Software Development (Web And Mobile App), 8000 /month
Kruti Services (Division Of Kruti Software Consultancy Private Limited),Business Development (Sales), 4000-6000 /month
Arbunize Digital Media Private Limited,Blockchain Development, 7000-12000 /month
Acxiom Technologies,Artificial Intelligence (AI), 10000-15000 /month
Plush Ink,Email Marketing, 4500-8000 /month
Travel India By Car,Mobile App Development, 10000 /month
Vibencode Solutions,Frontend Development (Angular), 5000-10000 /month
Lo Faro Shop Private Limited,Business Development (Sales), 15000 /month
It-InCloud,Terraform-AWS Development, 20000 /month
DFYN Technologies,Mobile App Development, 15000 /month
Ebisu Technologies Private Limited,MERN Stack Development, 15000 /month
Gigs4Education,Technical Content Creation, 15000 /month
Salvation Games,Mobile Game Development, 2000-7000 /month
Softusvista,Mechanical Engineering, 8000 /month
Wikaad IT Systems,Blockchain Development, 5000-8000 /month
Exa Mobility India Private Limited,Mobile App Development, 5000-10000 /month
Zimozi Solutions Private Limited,Blockchain Development, 10000-15000 /month
AMIGO SOFTCOM LLP,Full Stack Development (MEAN/MERN Stack), 15000 /month
AMIGO SOFTCOM LLP,React Native Development (Android/iOS), 15000 /month
AMIGO SOFTCOM LLP,Kotlin Development, 15000 /month
Health Care At Home India Private Limited,iOS App Development, 5000-10000 /month
Datavista Solutions,Web Development, 10000 /month
GastroLab India Private Limited,Medical Technology (On-Field), 25000-30000 /month
Settyl,Mobile App Development, 8000-10000 /month
Creatiwise,Illustration Design, 8000-15000 /month
City Link Portal Private Limited,Marketing, 8000-12000 /month
Niyama Technologies,Mobile App Development, 5000-10000 /month
ZIGRAM,Data Science, 15000 /month
Engati Technologies,Business Development (Sales), 20000 /month
Innovalance Learning Systems,Subject Matter Expert (Computer Science), 12000 /month
ETechCube,Django Development, 4000-9000 /month
Wikaad IT Systems,Python Development, 5000-8000 /month
ZIGRAM,Engineering Operations, 15000 /month
PeakMind,Product Management, 10000-20000 /month
Atharva Infrastructures,Marketing, 6000 /month
Digital Pro Business Services Private Limited,Business Development (Sales), 12000 /month
Webknot Technologies Private Limited,ReactJS, 7000-14000 /month
Vibencode Solutions,Backend Development (Django), 5000-10000 /month
Smartsevak,Business Development (Sales), 7000 /month +  Incentives
Melio,Event Management (Online Competitions), 10000 /month
Qutrix Solution Private Limited,Mobile App Development, 9000-12000 /month
MediaTonix,Mobile App Development, 10000 /month
Qutrix Solution Private Limited,Web Development, 9000-12000 /month
Vishal Kapoor,Web Development, 7000 /month
Rooftop,Business Development (Sales), 10000 /month
StudyExperts,Programming, 4000-8000 /month
Pikkal & Co,PHP Development, 15000 /month
Think Technology Services,Technical Support, 7000-10000 /month
Avadesh B,Backend Development, 10000-20000 /month
Grape Town,Mobile App Development, 20000 /month
Nudron IoT Solutions LLP,Web Development, 14000-20000 /month
